Metabolite;metabolite name;metabolite (paper);(metabolite name);adduct;PUBCHEM ID;HMDB ID;Average Molecular Weight;Monisotopic Molecular Weight;KEGG;Pathway;sub-pathway;M/Z;Specimen;function;participantsn(cancer type);stage;number;gender (M TEXT, F);age mean(range) (M / F);smoking status;participantsn(control);number.1;gender (M / F);age mean(range) (M / F).;smoking status.1;Chromatography;Ion source;Positive/Negative mode;Mass analyzer;Identification level;Data processing software;Database search;statistical software;statistical difference method;mean concentration (case);mean  concentration (control);fold change n(case/ control);RAW p-value;FDR;VIP;Classification method;Cutoff value;AUROC (95%CI);Sensitivity (%);Specificity (%);Accuracy (%);Survival analysis method;time cut-offs (<=/>);HR (95%CI);p-value;FDR.1;Country;author-emphasized biomarkers;other information;Pubmed ID;Authors;id;;
PC(10:0/22:2);PC(10:0/22:2);PC(10:0/22:2);–;–;–;–;–;–;–;Glycerophospholipid metabolism;–;730,5311;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;positive;Q-TOF;MS/MS;Analyst TF, XCMS; in-house;SIMCA-P, MetaboAnalystR, SPSS ;PCA, OPLS-DA;–;–;0,36;–;–;1,49;ROC curve;–;Combined effects of PCs: 0.996 (0.987–1.000) ;Combined effects of PCs: 98.9;Combined effects of PCs: 98.9;–;–;–;–;–;–;China;–;–;29740076;Chen et al. 2018;3217;;
isovaleric acid;isovaleric acid;isovaleric acid;–;–;–;–;–;–;–;–;–;103,0755;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;positive;Q-TOF;MS/MS;Analyst TF, XCMS; in-house;SIMCA-P, MetaboAnalystR, SPSS ;PCA, OPLS-DA;–;–;0,35;–;–;1,6;ROC curve;–;–;–;–;–;–;–;–;–;–;China;–;–;29740076;Chen et al. 2018;3218;;
biliverdin;biliverdin;biliverdin;–;–;–;–;–;–;–;–;–;583,2549;serum;diagnosis;NSCLC ;I, II;90;40, 50; 58.1 ± 9.0;–;healthy;90;42, 48;53.0 ± 11.8;–;LC;ESI;positive;Q-TOF;MS/MS;Analyst TF, XCMS; in-house;SIMCA-P, MetaboAnalystR, SPSS ;PCA, OPLS-DA;–;–;0,29;–;–;1,11;ROC curve;–;–;–;–;–;–;–;–;–;–;China;–;–;29740076;Chen et al. 2018;3219;;
testosterone;testosterone;testosterone;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;31,845;3,261E-015;–;2,138;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3220;;
tetradecanedioic acid;tetradecanedioic acid;tetradecanedioic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;26,598;1,176E-018;–;1,562;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3221;;
dodecanoic acid;dodecanoic acid;dodecanoic acid;–;–;–;HMDB0000638;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;24,153;8,675E-024;–;2,095;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3222;;
testosterone;testosterone;testosterone;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;23,367;4,114E-009;–;1,425;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3223;;
tetradecanedioic acid;tetradecanedioic acid;tetradecanedioic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;21,204;5,234E-018;–;1,158;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3224;;
tetradecanedioic acid;tetradecanedioic acid;tetradecanedioic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;20,99;6,615E-017;–;1,804;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3225;;
palmitoyl-Dl-carnitine chloride free;palmitoyl-Dl-carnitine chloride free;palmitoyl-Dl-carnitine chloride free;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;19,569;1,421E-023;–;2,016;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3226;;
indoleacetic acid;indoleacetic acid;indoleacetic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;19,568;3,838E-019;–;1,275;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3227;;
cortisone;cortisone;cortisone;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;16,716;1,123E-023;–;2,316;–;–;–;–;–;–;–;–;–;–;–;China;Y;–;29896992;Xiang et al. 2018;3228;;
palmitoyl-Dl-carnitine chloride free;palmitoyl-Dl-carnitine chloride free;palmitoyl-Dl-carnitine chloride free;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;14,573;2,846E-020;–;2,2;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3229;;
cortisol;cortisol;cortisol;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;14,568;1,819E-025;–;2,518;–;–;–;–;–;–;–;–;–;–;–;China;Y;–;29896992;Xiang et al. 2018;3230;;
palmitoyl-Dl-carnitine chloride free;palmitoyl-Dl-carnitine chloride free;palmitoyl-Dl-carnitine chloride free;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;13,219;3,006E-020;–;1,872;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3231;;
sodium glycodeoxycholate bioxtra;sodium glycodeoxycholate bioxtra;sodium glycodeoxycholate bioxtra;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;12,835;7,623E-010;–;1,654;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3232;;
hexadecanedioic  Acid;hexadecanedioic  Acid;hexadecanedioic  Acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;11,767;6,06E-020;–;1,932;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3233;;
indoleacetic acid;indoleacetic acid;indoleacetic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;11,541;2,902E-017;–;1,814;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3234;;
tetradecanedioic acid;tetradecanedioic acid;tetradecanedioic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;11,281;6,474E-016;–;1,337;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3235;;
cortisone;cortisone;cortisone;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;11,26;4,305E-022;–;2,226;–;–;–;–;–;–;–;–;–;–;–;China;Y;–;29896992;Xiang et al. 2018;3236;;
indoleacetic acid;indoleacetic acid;indoleacetic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;10,553;2,525E-017;–;1,468;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3237;;
sodium glycodeoxycholate bioxtra;sodium glycodeoxycholate bioxtra;sodium glycodeoxycholate bioxtra;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;9,341;6,039E-008;–;1,336;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3238;;
dodecanoic acid;dodecanoic acid;dodecanoic acid;–;–;–;HMDB0000638;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;9,239;4,674E-019;–;1,83;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3239;;
octadecanedioic acid;octadecanedioic acid;octadecanedioic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;9,22;3,514E-014;–;1,66;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3240;;
cortisol;cortisol;cortisol;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;8,871;1,091E-025;–;2,183;–;–;–;–;–;–;–;–;–;–;–;China;Y;–;29896992;Xiang et al. 2018;3241;;
hexadecanedioic  Acid;hexadecanedioic  Acid;hexadecanedioic  Acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;8,702;3,938E-016;–;2,004;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3242;;
cortisone;cortisone;cortisone;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;8,676;4,121E-020;–;2,551;–;–;–;–;–;–;–;–;–;–;–;China;Y;–;29896992;Xiang et al. 2018;3243;;
testosterone;testosterone;testosterone;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;8,554;7,165E-009;–;1,636;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3244;;
hexadecanedioic  Acid;hexadecanedioic  Acid;hexadecanedioic  Acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;8,311;6,607E-017;–;1,697;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3245;;
indoleacetic acid;indoleacetic acid;indoleacetic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;8,143;4,724E-016;–;2,026;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3246;;
octadecanedioic acid;octadecanedioic acid;octadecanedioic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;6,533;7,271E-014;–;1,888;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3247;;
cortisol;cortisol;cortisol;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;6,359;1,516E-023;–;2,416;–;–;–;–;–;–;–;–;–;–;–;China;Y;–;29896992;Xiang et al. 2018;3248;;
cuminaldehyde;cuminaldehyde;cuminaldehyde;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;6,111;4,932E-014;–;1,988;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3249;;
trans-ferulic acid;trans-ferulic acid;trans-ferulic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;25;21, 4;59.8 (43-83);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;5,97;3,061E-010;–;1,299;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3250;;
dodecanoic acid;dodecanoic acid;dodecanoic acid;–;–;–;HMDB0000638;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;5,888;4,938E-018;–;2,142;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3251;;
cortisol;cortisol;cortisol;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;5,841;9,084E-021;–;2,582;–;–;–;–;–;–;–;–;–;–;–;China;Y;–;29896992;Xiang et al. 2018;3252;;
octadecanedioic acid;octadecanedioic acid;octadecanedioic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;5,741;7,626E-013;–;1,869;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3253;;
hexadecanedioic  Acid;hexadecanedioic  Acid;hexadecanedioic  Acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;5,549;9,15E-017;–;2,063;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3254;;
indoleacrylic acid;indoleacrylic acid;indoleacrylic acid;–;–;–;HMDB0000734;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;5,128;7,214E-007;–;1,258;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3255;;
trans-ferulic acid;trans-ferulic acid;trans-ferulic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;5,111;4,931E-008;–;1,672;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3256;;
4-methylcatechol;4-methylcatechol;4-methylcatechol;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;4,753;4,4E-011;–;1,749;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3257;;
4-methylcatechol;4-methylcatechol;4-methylcatechol;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;4,725;3,225E-010;–;2,051;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3258;;
indoleacrylic acid;indoleacrylic acid;indoleacrylic acid;–;–;–;HMDB0000734;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;4,542;0,00001328;–;1,425;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3259;;
trans-ferulic acid;trans-ferulic acid;trans-ferulic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;4,472;2,129E-008;–;1,46;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3260;;
trans-ferulic acid;trans-ferulic acid;trans-ferulic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;4,446;3,382E-007;–;1,391;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3261;;
4-8-dihydroxyquinoline-2-carboxylic;4-8-dihydroxyquinoline-2-carboxylic;4-8-dihydroxyquinoline-2-carboxylic;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;4,378;7,302E-009;–;1,686;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3262;;
palmitoyl-Dl-carnitine chloride free;palmitoyl-Dl-carnitine chloride free;palmitoyl-Dl-carnitine chloride free;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;4,22;9,919E-017;–;1,897;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3263;;
cortisone;cortisone;cortisone;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;28;16, 12;59 (44-80);former, current, non-smoker;healthy;56;35, 21;58 (47-80);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;4,132;1,49E-017;–;2,154;–;–;–;–;–;–;–;–;–;–;–;China;Y;–;29896992;Xiang et al. 2018;3264;;
testosterone;testosterone;testosterone;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;adenocarcinoma;I, II, III, IV;24;10, 14;59 (43-71);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;4,003;0,0003046;–;1,295;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3265;;
sodium glycodeoxycholate bioxtra;sodium glycodeoxycholate bioxtra;sodium glycodeoxycholate bioxtra;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;3,959;6,017E-007;–;1,103;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3266;;
octadecanedioic acid;octadecanedioic acid;octadecanedioic acid;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;3,906;8,896E-011;–;1,437;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3267;;
L-aspartyl-L-phenylalanine;L-aspartyl-L-phenylalanine;L-aspartyl-L-phenylalanine;–;–;–;–;–;–;–;–;–;–;plasma;diagnosis;squamous cell carcinoma;I, II, III, IV;22;16, 6;60.5 (42-73);former, current, non-smoker;healthy;56;35, 21;59 (42-79);former, current, non-smoker;LC;ESI;both;LTQ-FT;–;Analyst software;–;SIMCA-P;independent sample t-tests, OPLS-DA;–;–;3,861;4,887E-008;–;1,356;–;–;–;–;–;–;–;–;–;–;–;China;–;–;29896992;Xiang et al. 2018;3268;;
